liga_id,liga_nome,idioma,handicap,moeda,taxa-liga
106,Suprema,português,5.0,BRL,0.18
107,Liga Principal,português,5.0,BRL,0.12
111,Suprema EU,inglês,0.8,USD,0.2
127,Suprema Peru,espanhol,3.5,SOL,0.2
128,Suprema Union,português,5.0,BRL,0.18
132,Suprema Ásia,inglês,0.8,USD,0.2
135,Supreme Poker,inglês,0.8,USD,0.2
136,Suprema México,espanhol,20,MXN,0.2
137,Suprema Argentina,espanhol,0.8,USD,0.2
145,Suprema Panamá,inglês,0.8,USD,0.2
147,Suprema Colômbia,espanhol,5.0,BRL,0.2
148,Suprema Venezuela,espanhol,0.8,USD,0.2
149,Suprema R Dominicana,inglês,0.8,USD,0.2
150,Suprema Bolívia,espanhol,10,BOL,0.2
163,Suprema Costa Rica,inglês,0.8,USD,0.2
164,Suprema KZ,inglês,45.00,KZT,0.2
165,Re-Stars,português,5.0,BRL,0.2
166,Suprema USA FN,inglês,0.8,USD,0.15
170,SRODEO,português,5.0,BRL,0
171,Liga Royal,português,5.0,BRL,0.2
173,Suprema SX USD,inglês,0.8,USD,0.2
174,Suprema Canadá,inglês0.,0.8,USD,0.2
180,♠️♥️ HOME GAME ♦️♣️,português,5.0,BRL,0.82
184,Suprema Chile,espanhol,0.8,USD,0.2
197,Suprema Freeroll,português,5.0,BRL,0.82
199,Suprema ADR USD,inglês,0.8,USD,0.2
202,Suprema Índia,inglês,90,INR,0.2
204,Suprema Uruguai,espanhol,0.8,USD,0.2
205,Suprema SX-E,inglês,0.7,USD,0.2
213,Vulcão,português,5.0,BRL,0.18
214,CERRADO POKER LEAGUE,português,5.0,BRL,0.18
